mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Hnrnpa3,HNRNPA3,0.4466627842427872,-0.04162619826180469,0.34285714285714286,1.0,0.0,False
Hnrnpdl,HNRNPDL,0.0620225426336493,-0.04629073680470425,0.6857142857142857,1.0,1.248312983716502e-06,False
Hnrnpk,HNRNPK,0.0004612063751899,0.03790673380244891,1.0,1.0,0.784456209652956,True
Hnrnpu,HNRNPU,-0.4992513170653035,0.243645324763741,0.6857142857142857,1.0,3.4811986879619183e-143,False
Hnrnpul2,HNRNPUL2,0.4506261125554204,-0.20030739196460856,0.8857142857142857,1.0,5.684310794536962e-05,False
Homer1,HOMER1,0.0808754638218923,-0.24363399982067613,0.2,0.9695364238410596,0.1053930923068072,False
Hp1bp3,HP1BP3,0.1229255128777035,0.0446445529624222,0.8857142857142857,1.0,6.189125636617704e-12,True
Hsp90aa1,HSP90AA1,0.2829399009128612,-0.28388500668860744,0.2,0.9695364238410596,0.0,False
Hsp90ab1,HSP90AB1,-0.073252672872206,-0.10191776477423509,0.8857142857142857,1.0,9.373451040388106e-33,True
Hsp90b1,HSP90B1,0.0420189512175666,-0.09781024896899082,0.34285714285714286,1.0,1.9588159947184783e-10,False
Hspa4,HSPA4,0.0032242351175632,-0.0661474757436944,0.34285714285714286,1.0,0.9098232367695174,False
Hspa4l,HSPA4L,-0.6368694847416878,0.07356366459627328,0.7,1.0,1.5944272947255437e-37,False
Hspa5,HSPA5,-0.0491873408432971,-0.01326095225171555,0.4,1.0,4.234571708675546e-13,True
Hspa8,HSPA8,-0.0397177424622339,-0.007334183870941202,1.0,1.0,6.975860004837621e-196,True
Hspa9,HSPA9,0.0581365593624729,-0.13109815764622978,0.2,0.9695364238410596,0.0161613938523817,False
Hsph1,HSPH1,0.0402859313871223,-0.11120489781133513,0.11428571428571428,0.9506493506493506,3.694585345274692e-13,False
Huwe1,HUWE1,0.2301749639249638,0.4749502866021988,1.0,1.0,0.0005688870113991,True
Ipo5,IPO5,0.1443037511991759,-0.033557619954295514,1.0,1.0,0.0060241483934089,False
Iqsec1,IQSEC1,0.051846537528612,0.09174130700523753,0.6857142857142857,1.0,0.0454994434368172,True
Itm2b,ITM2B,0.016565810139395,-0.010411114916267672,0.7,1.0,2.465782103950194e-34,False
Itsn1,ITSN1,0.2524961244135452,0.04989184584035722,0.4857142857142857,1.0,0.00117598676859,True
Jun,JUN,-0.4636518733914119,-0.11749805562622129,0.4857142857142857,1.0,4.525721810240254e-26,True
Kalrn,KALRN,0.1142688236920124,0.04400303014121154,0.2,0.9695364238410596,5.169636351322342e-44,True
Kcnb1,KCNB1,-0.1118113912231558,-0.172960127935601,0.1,0.9506493506493506,0.1507998274314149,True
Kcnc1,KCNC1,-0.193447152232523,-0.035926240084045435,0.34285714285714286,1.0,9.447858896269875e-29,True
Kcnip4,KCNIP4,0.4132388944648335,-0.1936216188452814,0.34285714285714286,1.0,5.8822898083483445e-106,False
Kcnj3,KCNJ3,0.0623931771556,0.009397701215437593,1.0,1.0,0.0008468523154266,True
Kcnma1,KCNMA1,0.14455183123093,-0.0903844111070119,0.2,0.9695364238410596,0.0418073978177731,False
Kcnq2,KCNQ2,0.0683922620887992,-0.0011565918079573523,0.6857142857142857,1.0,0.021726161395745,False
Khdrbs3,KHDRBS3,0.068185836743262,0.7258487342056748,1.0,1.0,2.318567043268589e-12,True
Kidins220,KIDINS220,-0.0437022099517624,-0.1702040685465126,0.4,1.0,0.0003427839792786,True
Kif2a,KIF2A,-0.0173406238295573,-0.10845556625836661,0.6857142857142857,1.0,7.706362397981226e-08,True
Kif5a,KIF5A,0.1751549064813593,-0.06680839414827999,0.4857142857142857,1.0,3.829618987176954e-79,False
Kifap3,KIFAP3,0.1610739654006762,0.0685493155467084,0.7,1.0,8.658346393065541e-54,True
Kmt2e,KMT2E,0.3965524671407023,-0.38314941797980717,0.7,1.0,2.9761233285828446e-10,False
Kpna1,KPNA1,-0.0061133809091891,0.2492267355327097,0.1,0.9506493506493506,0.91307158511703,False
Lamp2,LAMP2,-0.5166893439521067,0.020913872330141192,0.6857142857142857,1.0,2.8378963821133537e-23,False
Lancl1,LANCL1,-0.3241274319992187,-0.4552152211065663,0.4857142857142857,1.0,0.0,True
Lmna,LMNA,-0.4919332874165871,0.0019338203695745682,0.7,1.0,6.3551169947572634e-21,False
Lpgat1,LPGAT1,-0.07185028637722,-0.09099905685697962,0.4,1.0,0.0185323765303786,True
Lrrtm4,LRRTM4,-0.119582732082732,0.00914245390275037,0.8857142857142857,1.0,0.1493902136584693,False
Lsamp,LSAMP,0.2677838891365747,-0.0128413527499186,0.6857142857142857,1.0,9.166758926669385e-58,False
Luc7l2,LUC7L2,0.0407595790214299,-0.23838370259590042,0.2,0.9695364238410596,0.4983024962050643,False
Luc7l3,LUC7L3,0.1363713944359104,-0.12622957767579412,0.11428571428571428,0.9506493506493506,0.0921586699029046,False
Macf1,MACF1,0.317645885012642,-0.04691841601486746,0.2,0.9695364238410596,1.5120450692161071e-09,False
Malat1,MALAT1,0.0698256556318162,-0.12203395764386299,0.2,0.9695364238410596,0.0,False
Map1b,MAP1B,0.0253762195952904,-0.1795232436744778,0.34285714285714286,1.0,1.6038079744903816e-06,False
Map1lc3b,MAP1LC3B,-0.1819415627790451,0.013126856094067274,0.4,1.0,6.35396825335433e-303,False
