gene,n_disease,n_control,median_disease,median_control,delta_disease_minus_control,cliffs_delta,p_value,fdr_BH,delta_ci95_lo,delta_ci95_hi
CHN1,4,4,0.8639637657234129,0.7859217803731071,0.07804198535030582,0.375,0.4857142857142857,1.0,,
IDS,4,4,0.900650843065691,0.5013126067284154,0.3993382363372756,0.375,0.4857142857142857,1.0,,
TIAL1,4,4,0.4862355110642782,0.4903966880450643,-0.004161176980786108,-0.375,0.4857142857142857,1.0,,
ASPH,4,4,0.37168653836639787,0.3332128146777544,0.03847372368864349,0.375,0.4857142857142857,1.0,,
SLK,4,4,0.780814277746793,0.8605547622878288,-0.07974048454103577,-0.375,0.4857142857142857,1.0,,
SLC44A1,4,4,0.7988587821163265,0.8293593651316693,-0.030500583015342753,-0.375,0.4857142857142857,1.0,,
PCYT2,4,4,0.15761737464068987,0.12559815110198075,0.03201922353870912,0.375,0.4857142857142857,1.0,,
CADM2,4,4,0.8489665060336931,0.870977215313358,-0.022010709279664975,-0.375,0.4857142857142857,1.0,,
RANBP3L,4,4,0.7895875970503199,0.8223846153846154,-0.03279701833429549,-0.375,0.4857142857142857,1.0,,
PPP1CB,4,4,0.26203444378673885,0.29304159550244613,-0.031007151715707282,-0.375,0.4857142857142857,1.0,,
TBRG1,4,4,0.639806559583579,0.8071070398890552,-0.16730048030547617,-0.375,0.4857142857142857,1.0,,
ARPP21,4,4,0.7004070126993714,0.49614217578969205,0.2042648369096794,0.375,0.4857142857142857,1.0,,
SESTD1,4,4,0.6669746276889135,0.7390672995229071,-0.0720926718339936,-0.375,0.4857142857142857,1.0,,
YWHAZ,4,4,0.6110432750646297,0.7133538298050786,-0.10231055474044881,-0.375,0.4857142857142857,1.0,,
EIF3J,4,4,0.5240779081358791,0.6473370584897044,-0.12325915035382529,-0.375,0.4857142857142857,1.0,,
ATP2C1,4,4,0.571196796006872,0.6450756548458143,-0.0738788588389423,-0.375,0.4857142857142857,1.0,,
ATP6V1C1,4,4,0.86200270509771,0.7318939833415694,0.13010872175614063,0.375,0.4857142857142857,1.0,,
ITSN1,4,4,0.7997696210395526,0.7498777751991954,0.04989184584035722,0.375,0.4857142857142857,1.0,,
YWHAB,4,4,0.9379199791466122,0.8930392708717996,0.04488070827481261,0.375,0.4857142857142857,1.0,,
JUN,4,4,0.33959284627092845,0.45709090189714974,-0.11749805562622129,-0.375,0.4857142857142857,1.0,,
SAR1A,4,4,0.23156884924328117,0.5616217682056923,-0.3300529189624112,-0.375,0.4857142857142857,1.0,,
MKLN1,4,4,0.7582304526748971,0.824109326152227,-0.0658788734773299,-0.375,0.4857142857142857,1.0,,
SCAPER,4,4,0.5309712230215827,0.4787474747176155,0.052223748303967255,0.375,0.4857142857142857,1.0,,
SBDS,4,4,0.8874151852875257,0.9099507787644494,-0.022535593476923688,-0.375,0.4857142857142857,1.0,,
KIAA0408,4,4,0.5472910263822536,0.6950136090258572,-0.1477225826436036,-0.375,0.4857142857142857,1.0,,
WNK2,4,4,0.3706953642384106,0.59519772553485,-0.22450236129643936,-0.375,0.4857142857142857,1.0,,
SV2B,4,4,0.28526666497113357,0.7995133181626557,-0.5142466531915222,-0.375,0.4857142857142857,1.0,,
LINC00667,4,4,0.4173913043478261,0.5791782199088713,-0.16178691556104519,-0.375,0.4857142857142857,1.0,,
MAP7,4,4,0.595299417274915,0.7322407423168642,-0.13694132504194922,-0.375,0.4857142857142857,1.0,,
KIF3C,4,4,0.837404228081405,0.8519642831377621,-0.014560055056357046,-0.375,0.4857142857142857,1.0,,
LMO4,4,4,0.08731055311533459,0.16455394369627355,-0.07724339058093896,-0.375,0.4857142857142857,1.0,,
SRSF5,4,4,0.8790702982349361,0.9090257023809077,-0.029955404145971642,-0.375,0.4857142857142857,1.0,,
YAF2,4,4,0.5031469825990373,0.7038429684141314,-0.20069598581509407,-0.375,0.4857142857142857,1.0,,
EIF2S1,4,4,0.36908960203998586,0.4786048419472517,-0.10951523990726586,-0.375,0.4857142857142857,1.0,,
AGAP1,4,4,0.8825955548516524,0.9505865986711368,-0.0679910438194844,-0.375,0.4857142857142857,1.0,,
AGTPBP1,4,4,0.7762352941176471,0.8320694289795414,-0.05583413486189426,-0.375,0.4857142857142857,1.0,,
UBE2H,4,4,0.7004846751286177,0.675782822844194,0.024701852284423675,0.375,0.4857142857142857,1.0,,
ADCY1,4,4,0.869176655830963,0.971776250095263,-0.10259959426429999,-0.375,0.4857142857142857,1.0,,
ZNF429,4,4,0.3284028324154209,0.45234183862992994,-0.12393900621450904,-0.375,0.4857142857142857,1.0,,
AIMP1,4,4,0.5768002028397565,0.6530678495921628,-0.07626764675240627,-0.375,0.4857142857142857,1.0,,
SCG3,4,4,0.7546995572422517,0.8397409064255172,-0.08504134918326556,-0.375,0.4857142857142857,1.0,,
AMD1,4,4,0.554954954954955,0.6403579264248176,-0.08540297146986264,-0.375,0.4857142857142857,1.0,,
ZRANB1,4,4,0.6300841655927836,0.6962120796908826,-0.06612791409809904,-0.25,0.6857142857142857,1.0,,
ZNF148,4,4,0.6063852813852814,0.6668233408588313,-0.060438059473549965,-0.25,0.6857142857142857,1.0,,
ZBTB47,4,4,0.5844276303296767,0.5690877591792386,0.015339871150438111,0.25,0.6857142857142857,1.0,,
SDCCAG8,4,4,0.46314672259021505,0.5012216428073205,-0.03807492021710546,-0.25,0.6857142857142857,1.0,,
ANAPC16,4,4,0.7229279338516923,0.7939348975635818,-0.07100696371188953,-0.25,0.6857142857142857,1.0,,
AKAP6,4,4,0.7592710387379937,0.5373786291658103,0.22189240957218348,0.25,0.6857142857142857,1.0,,
ACSL3,4,4,0.7701687855057966,0.8154950282086482,-0.04532624270285157,-0.25,0.6857142857142857,1.0,,
MARCHF6,4,4,0.652680742686842,0.7020436712771898,-0.049362928590347854,-0.25,0.6857142857142857,1.0,,
MAPK10,4,4,0.3842779940374377,0.3768997078592029,0.007378286178234772,0.25,0.6857142857142857,1.0,,
KIF2A,4,4,0.6236590389661691,0.7321146052245358,-0.10845556625836661,-0.25,0.6857142857142857,1.0,,
KIF21A,4,4,0.7435472953087292,0.8475604174839223,-0.1040131221751931,-0.25,0.6857142857142857,1.0,,
VAMP2,4,4,0.5953439688824318,0.6558437305795237,-0.060499761697091925,-0.25,0.6857142857142857,1.0,,
RALYL,4,4,0.8837672073054381,0.9478242626677107,-0.06405705536227257,-0.25,0.6857142857142857,1.0,,
RAB18,4,4,0.8170690811535881,0.8066669282174009,0.010402152936187181,0.25,0.6857142857142857,1.0,,
CANX,4,4,0.8627097013793383,0.8261787472156839,0.03653095416365448,0.25,0.6857142857142857,1.0,,
CAMK1D,4,4,0.9514931427899975,0.9632569551148528,-0.011763812324855238,-0.25,0.6857142857142857,1.0,,
LSAMP,4,4,0.8297862673112573,0.8426276200611759,-0.0128413527499186,-0.25,0.6857142857142857,1.0,,
C3orf14,4,4,0.37543229455261096,0.2824163828486595,0.09301591170395146,0.25,0.6857142857142857,1.0,,
PRXL2A,4,4,0.6189506141713996,0.39457110392717265,0.22437951024422698,0.25,0.6857142857142857,1.0,,
PRKACB,4,4,0.9723161885044463,0.9651282368975345,0.00718795160691188,0.25,0.6857142857142857,1.0,,
PREPL,4,4,0.9155065952096595,0.9185538029133415,-0.0030472077036820533,0.25,0.6857142857142857,1.0,,
CCPG1,4,4,0.7268803837803768,0.7995232410693452,-0.07264285728896847,-0.25,0.6857142857142857,1.0,,
PTGDS,4,4,0.5799168189550907,0.7404684244746687,-0.16055160551957792,-0.25,0.6857142857142857,1.0,,
CCNL2,4,4,0.8132893777488572,0.7700256097941847,0.04326376795467257,0.25,0.6857142857142857,1.0,,
VPS13C,4,4,0.7050673319384086,0.7750755226510739,-0.07000819071266529,-0.25,0.6857142857142857,1.0,,
KIF1B,4,4,0.9358754860175369,0.9443201970360702,-0.00844471101853328,-0.25,0.6857142857142857,1.0,,
KIAA0930,4,4,0.38913571374831046,0.338368338225124,0.05076737552318644,0.25,0.6857142857142857,1.0,,
KCNQ2,4,4,0.923385518590998,0.9245421103989554,-0.0011565918079573523,-0.25,0.6857142857142857,1.0,,
MEF2C,4,4,0.8275818955521617,0.8764588379055439,-0.04887694235338225,-0.25,0.6857142857142857,1.0,,
MED8,4,4,0.6360828130134735,0.6304747162022704,0.0056080968112031115,0.25,0.6857142857142857,1.0,,
MDH2,4,4,0.3276346666904607,0.3683307420460708,-0.040696075355610095,-0.25,0.6857142857142857,1.0,,
CELF2,4,4,0.7882076287305045,0.853677421228328,-0.06546979249782348,-0.25,0.6857142857142857,1.0,,
CALM2,4,4,0.8905921862518373,0.8668527807489252,0.023739405502912092,0.25,0.6857142857142857,1.0,,
SLC20A2,4,4,0.849288821765886,0.9053662983881727,-0.05607747662228668,-0.25,0.6857142857142857,1.0,,
SLC1A4,4,4,0.5557163382594417,0.8094037267080745,-0.2536873884486328,-0.25,0.6857142857142857,1.0,,
SLC1A2,4,4,0.9492490167400345,0.9547663420915281,-0.005517325351493629,-0.25,0.6857142857142857,1.0,,
SIRPA,4,4,0.8721331083009872,0.8857464648052229,-0.013613356504235674,-0.25,0.6857142857142857,1.0,,
SHTN1,4,4,0.719002761740763,0.7708894245921231,-0.05188666285136001,-0.25,0.6857142857142857,1.0,,
RB1CC1,4,4,0.746709759855688,0.647554303506042,0.09915545634964595,0.25,0.6857142857142857,1.0,,
RYR2,4,4,0.8275608308605341,0.8404008018322696,-0.012839970971735504,-0.25,0.6857142857142857,1.0,,
RWDD1,4,4,0.5801811633744407,0.518019645419036,0.0621615179554047,0.25,0.6857142857142857,1.0,,
RUNDC3A,4,4,0.3905161453998153,0.408281173728591,-0.017765028328775745,-0.25,0.6857142857142857,1.0,,
ARHGAP12,4,4,0.4791003518177249,0.5400121773101648,-0.0609118254924399,-0.25,0.6857142857142857,1.0,,
AP1S2,4,4,0.8612754254877542,0.9070672695911612,-0.04579184410340709,-0.25,0.6857142857142857,1.0,,
PPP2R2B,4,4,0.8057504939274504,0.8620695544924929,-0.056319060565042545,-0.25,0.6857142857142857,1.0,,
PPP1R7,4,4,0.879079946968581,0.8611901306240929,0.017889816344488163,0.25,0.6857142857142857,1.0,,
PPM1B,4,4,0.3910960895970567,0.5124289677035863,-0.12133287810652954,-0.25,0.6857142857142857,1.0,,
ULK2,4,4,0.5284329640947287,0.5469128381544228,-0.01847987405969409,-0.25,0.6857142857142857,1.0,,
CNP,4,4,0.18009986370642106,0.6169293565384034,-0.43682949283198236,-0.25,0.6857142857142857,1.0,,
CLU,4,4,0.9421548102350825,0.9089992138085815,0.03315559642650101,0.25,0.6857142857142857,1.0,,
DDX5,4,4,0.9487839163203025,0.6445889494705965,0.30419496684970593,0.25,0.6857142857142857,1.0,,
POU6F1,4,4,0.37719643325465513,0.44207711244531817,-0.06488067919066304,-0.25,0.6857142857142857,1.0,,
POGZ,4,4,0.8746220710506425,0.8487807086750923,0.025841362375550236,0.25,0.6857142857142857,1.0,,
PNKD,4,4,0.30590265903860553,0.3234997623476519,-0.017597103309046347,-0.25,0.6857142857142857,1.0,,
PNISR,4,4,0.7926435663245557,0.8396939417545541,-0.04705037542999846,-0.25,0.6857142857142857,1.0,,
DDX1,4,4,0.9290305113475845,0.950806784561548,-0.02177627321396347,-0.25,0.6857142857142857,1.0,,
CTSB,4,4,0.38238104729442224,0.3617867702969988,0.020594276997423444,0.25,0.6857142857142857,1.0,,
COX11,4,4,0.47444797591167615,0.42952708178162013,0.04492089413005601,0.25,0.6857142857142857,1.0,,
COQ4,4,4,0.532927536231884,0.5090942100746022,0.023833326157281842,0.25,0.6857142857142857,1.0,,
ANKS1B,4,4,0.8670261603801809,0.8699699513017115,-0.0029437909215306313,-0.25,0.6857142857142857,1.0,,
SEMA4D,4,4,0.5477836599241467,0.5084021995121542,0.03938146041199253,0.25,0.6857142857142857,1.0,,
