gene,SRR24710558,SRR24710556,SRR24710554,SRR24710705,SRR24710703,SRR24710564,SRR24710562,SRR24710560
ANKRD10,0.724,0.7649122807017544,0.7016949152542373,0.7952380952380952,0.9852579852579852,0.708,0.7942196531791907,0.7348837209302326
ANKRD11,0.9559099437148217,0.4413919413919414,0.4971751412429379,0.9235668789808917,0.7694052419354839,0.9210526315789473,0.815606936416185,0.8075471698113208
ANKRD12,0.32349896480331264,0.3521181500194326,0.8232758620689655,0.37437088656600853,0.3429570652578317,0.15401459854014599,0.38841940532081376,0.2577464788732394
ANKRD13C,0.7684210526315789,,,0.54421768707483,0.7169517884914464,0.47509578544061304,0.5632530120481928,0.38461538461538464
ANKRD16,0.45454545454545453,,,,0.8745644599303136,,,
ANKRD17,0.39665354330708663,0.4407894736842105,0.7914110429447853,0.3177737881508079,0.32642884541618716,0.9019607843137255,0.3976497346474602,0.21739130434782608
ANKRD18A,,0.5911602209944752,,,0.9619220308250227,,,
ANKRD26,0.5187165775401069,,,0.5,0.1554160125588697,0.4067796610169492,,
ANKRD28,0.6196660482374768,0.8469387755102041,0.6328502415458938,,,,,
ANKRD29,0.5379310344827586,,0.673469387755102,,0.8584070796460177,,,
ANKRD30BL,,,0.18729096989966554,,0.240625,0.12087912087912088,,
ANKRD34C-AS1,,,,,,,0.4873096446700508,
ANKRD35,0.8210116731517509,,,,,,,
ANKRD36,,0.6454326923076923,,0.9304511278195489,0.8281786941580757,,,
ANKRD36B,,0.2390499691548427,0.24915254237288137,0.48375451263537905,0.2127371273712737,,,
ANKRD36BP2,0.16842105263157894,,,,,,,
ANKRD36C,,0.7398692810457517,,,0.41949303820064265,0.7380952380952381,0.330188679245283,
ANKRD37,,0.8975903614457831,,,,0.7046979865771812,,0.625
ANKRD39,,,,,0.07484076433121019,,,
ANKRD40,0.9090909090909091,,,,0.9518047152096808,,,
ANKRD42,0.4181360201511335,,,0.4772727272727273,0.30988593155893535,0.4066666666666667,0.2532808398950131,
ANKRD46,0.9440961337513062,,0.95,,,,,
ANKRD49,,,,,,0.3333333333333333,,
ANKRD50,0.5166163141993958,,,,0.31015452538631344,0.8461538461538461,0.29435483870967744,
ANKRD52,,0.5116279069767442,0.697841726618705,0.5365853658536586,,0.6758620689655173,0.5771144278606966,
ANKRD54,,,,,,0.8776978417266187,,
ANKRD6,0.5558252427184466,,0.68,0.6068376068376068,0.74609375,,,0.5416666666666666
ANKRD9,0.149812734082397,,,0.1774193548387097,0.1983695652173913,0.12935323383084577,,0.19434628975265017
ANKS1B,0.8768894192521878,0.8303287380699894,0.8620218579234973,0.9037235826903723,0.9484429065743945,0.946058091286307,0.8630504833512352,0.7318900915903414
ANKZF1,0.9102296450939458,,,,,,,
ANLN,0.9327956989247311,0.847769028871391,0.9430485762144054,0.904639175257732,0.9376585719463574,,0.9535603715170279,
ANO10,,,,,0.653558052434457,,,
ANO3,,,,,0.9704472843450479,,,
ANO4,,0.776,,,,,,
ANO5,,,,0.7957317073170732,0.9811701412239409,0.7250755287009063,0.9194977843426884,
ANP32A,0.6349843819723338,0.7422096317280453,0.8244897959183674,0.21206225680933852,0.7374715261958997,0.7142857142857143,0.8091373609858732,
ANP32B,0.5109353187529083,0.8126888217522659,0.5828220858895705,0.7171806167400882,0.6369439457410732,0.7384615384615385,,0.8717632552404438
ANP32E,,,,,0.88,0.6805293005671077,0.8908325234855847,0.8537414965986394
ANXA11,0.13183730715287517,0.1794871794871795,0.07444168734491315,0.7207207207207207,0.17506631299734748,0.11594202898550725,,0.12239583333333333
ANXA4,,,,,0.6829545454545455,0.6483516483516484,0.5775862068965517,
ANXA5,,0.9610894941634242,,,,0.9529411764705882,,
ANXA6,,0.040293040293040296,,0.9783144406111385,0.9084084084084084,0.9835234474017744,0.9771565975353171,
ANXA7,,0.027777777777777776,,0.030211480362537766,,,,
AOPEP,0.8610315186246418,0.8225806451612904,0.8265895953757225,0.15425531914893617,0.9407894736842105,0.83,0.8778135048231511,
AP1AR,0.9389880952380952,,,,0.9714673913043478,,,
AP1G1,0.7932432432432432,0.875,0.8571428571428571,0.7771084337349398,0.9501807955002008,0.9448529411764706,0.9598373157092018,
AP1M1,,,,,0.03777949113338473,,0.07060681254229641,
AP1S2,0.9193976970770593,0.780564263322884,0.7956989247311828,0.9320695102685624,0.8947368421052632,0.928030303030303,0.9548100914887718,0.7945205479452054
AP2A2,,0.6086956521739131,0.4247104247104247,0.8123725356900068,,,,0.9572446555819477
AP2B1,0.814931650893796,0.8503253796095445,0.8311874105865522,0.9645293315143247,0.8580906745300405,0.8689320388349514,0.9905259087393659,
AP2M1,,,0.9937864077669903,0.978462933575153,0.9959897094430993,0.9896670493685419,0.996612368458988,0.9817174515235457
AP2S1,,,,,0.9849929873772791,,,
AP3B1,0.6195652173913043,0.8316831683168316,,,0.906047516198704,,,
AP3D1,,,,,0.9614810391161541,0.9289099526066351,0.9826685006877579,
AP3M1,,0.45901639344262296,0.4380165289256198,,0.9271781534460338,,0.5442359249329759,0.41975308641975306
AP3M2,0.9138888888888889,,0.9321608040201005,,0.9310253699788583,0.9056261343012704,0.8959622752726201,
AP3S1,0.9190453907346747,,,,0.9834269662921349,,,
AP3S2,0.5205761316872428,,0.3125,0.49214659685863876,0.47359307359307357,0.45507246376811594,0.42518518518518517,0.36538461538461536
AP4S1,0.2746693794506612,,,0.39732142857142855,0.475396163469558,0.5040322580645161,0.4924953095684803,
